Model,Fixes,Key Technique,Limitations
M3DocRAG,"Bridges the gap between S-page VQA and text-only RAG (DPR/BM25 + LLM), neither of which preserves visual cues across many pages. Provides the canonical multi-modal page-retrieval baseline that virtually every later RAG/agentic system (MDocAgent, MoLoRAG, ViDoRAG, SimpleDoc, Doc-V*, AVIR) compares against and tries to improve.","ColPali (multi-modal late-interaction visual retriever) encodes every document page into per-patch embeddings; query encoded similarly; MaxSim score selects top-K relevant pages. For open-domain settings, IVF approximate indexing is used to scale to 40k+ pages with sub-2s retrieval. The retrieved page images are passed directly to a multi-modal LM (Qwen2-VL 7B) for answer generation. Introduces the M3DocVQA open-domain benchmark (3.4k+ PDFs, 41k pages, 2.4k multi-hop questions extended from MultimodalQA).",Fixed Top-K retrieval; brittle when relevant evidence is missed. ColPali multi-vector embeddings are storage-heavy. Generator is a S forward pass over retrieved pages; cannot revise queries. Performance plateaus around K=4 due to attention dilution.
CREAM,Addresses the S-page limitation of LayoutLM/UDOP/DocFormer and the truncation/noise problems of dense text-only RAG when applied to multi-page DocVQA. Directly improves on Hi-VT5's per-page-then-decoder design by introducing a multi-page vision encoder with cross-page attention pooling. Tackles the general MP-VRDU bottleneck of fitting multiple high-res pages into an LLM context.,"Coarse-to-fine retrieval that first uses sentence embeddings then iteratively re-ranks chunks with RankVicuna in groups of m, narrowing to top-3. Pairs this with a multi-page vision encoder built on Pix2Struct: per-page features are augmented with page-position embeddings and merged via attention pooling with a learnable visual query, then fed to LLaMA via an AdapterMLP. LLaMA-Adapter V2-style efficient tuning (LoRA + prefix + bias) avoids full fine-tuning.",Heavy reliance on OCR quality; iterative LLM re-ranking is expensive at inference time. Attention-pooled multi-page representation can wash out fine-grained details when many pages are retained. Frozen Pix2Struct encoder limits visual reading on novel layouts. Attention-pooling itself is a fixed aggregator (cannot dynamically inspect evidence like agentic methods).
VDocRAG,Addresses the limitations of conventional text-based RAG (parsing-induced information loss) and previous visual retrievers like ColPali/VisRAG (no retrieval-specific pre-training). Establishes that LVLMs need retrieval-oriented adaptation to bridge generative pre-training and retrieval. Provides the OpenDocVQA benchmark used by later open-domain methods.,"LVLM-based dual-encoder retriever (VDocRetriever) that compresses each high-resolution document image into a S dense <EOS>-token embedding, with a generator (VDocGenerator) using the retrieved image directly. Two new self-supervised pre-training tasks transfer LVLM capabilities to retrieval: Representation Compression via Retrieval (RCR) - InfoNCE between OCR-text and image <EOS> embeddings; Representation Compression via Generation (RCG) - generate OCR text from the compressed embedding. LoRA-tunes both retriever and generator on top of Phi-3-Vision. Releases OpenDocVQA, the first open-domain DocVQA collection with multi-hop questions.",Compressing entire image to a S <EOS> embedding loses some fine-grained information. Pre-training requires OCR (used as pseudo-targets). Performance bound by base LVLM backbone's resolution. No iterative or agentic refinement.
AVIR,"Directly attacks the rigid Top-K cutoff used by SelfAttnScoring and M3DocRAG, where any retrieval error cascades into a wrong answer. Also addresses the LVLM context-dilution problem on long documents observed in Qwen2.5-VL/InternVL3 baselines, and the heavy compute of cross-encoder retrievers like ColPali. Aligns with the broader MP-VRDU trend of replacing fixed Top-K with adaptive selection (also pursued by ViDoRAG via GMM).","Frozen Qwen2.5-VL-3B-AWQ generator combined with a lightweight (~100M) Pix2Struct-based page retriever. Key novelty is an Adaptive Page Selector that analyses the score distribution: K-means clustering (k=2) splits relevant from irrelevant pages for documents >4 pages with a Top-8 cap, while a probability threshold (0.6) is used for short documents to avoid discarding marginally relevant pages. No fine-tuning of the LVLM; prompt engineering only.","Retriever requires task-specific fine-tuning per dataset (limits generalization). Cannot answer global, list-of-answers or unanswerable questions well because some pages are always discarded. Hard cap of 8 pages caps recall on multi-evidence questions; cannot recover if all relevant pages are filtered out."
Self-Attention Scoring,"Demonstrates that S-page Pix2Struct can be extended to arbitrary-length documents with minimal GPU resource usage, addressing Hi-VT5's per-page token cost and OCR dependency. Sets a lightweight baseline for retrieval-then-read that AVIR and DFVC later refine (replacing Top-1 with adaptive selection or fused embeddings).","OCR-free multi-page DocVQA: rendering questions as images and concatenating them on top of page images for Pix2Struct. Two-stage training: (i) train Pix2Struct on positive question-page pairs only (S-page DocVQA); (ii) freeze the encoder and train a Self-Attention Scoring module (a self-attention layer + linear head with dropout) on positive + one randomly sampled negative page per document with MSE loss + label smoothing. At inference, every page is scored independently and Top-1 is decoded by Pix2Struct. Extends MP-DocVQA evaluation to 793-page documents.",Strict Top-1 page selection cannot answer questions whose evidence spans multiple pages. Fully visual representation requires sufficient image resolution and may miss small text. Sampling only one negative per document limits training signal. Frozen encoder caps adaptability.
RAG-DocVQA,"Demonstrates that simple RAG can replace concatenate-all-pages baselines and very large LVLMs (Qwen2.5-VL-7B) on MP-DocVQA/DUDE/InfoVQA, addressing the memory-hungry inefficiency of Hi-VT5/Qwen2.5-VL on multi-page inputs. Provides a head-to-head ablation of textual vs visual RAG that complements pure-vision retrievers (M3DocRAG, VDocRAG).","Systematic study of RAG for multi-page DocVQA. Textual RAG variant: OCR text is chunked with overlap and tolerance, embedded with bge-en-small-v1.5 (fine-tuned via Multiple-Negatives Ranking), retrieved by cosine similarity, then re-ranked by a cross-encoder; the top-K chunks (text + bounding boxes + image crops) are concatenated and fed to VT5 or Qwen2.5-VL-7B. Visual RAG variant uses Pix2Struct's encoder to embed overlapping vertical patches of page images, retrieved via ColBERT-style late interaction; selected patches are stacked and decoded by Pix2Struct.",Layout-guided chunking strategies were found NOT to help on these datasets (challenges the assumption that layout-aware chunking helps RAG). Visual RAG patch grids may break visual context. Cross-encoder reranking adds latency. Per-dataset fine-tuning of embedder is required."
DREAM,"Targets the failure of single-modal CREAM-style OCR-text retrieval and the token-explosion problem of MLLMs that concatenate all pages (mPLUG-DocOwl2, Docopilot). Improves on Hi-VT5/GRAM by replacing decoupled per-page encoding with cross-page mixture-of-experts attention. Combines retrieval and a custom multi-page MLLM in a single trained framework rather than orchestrating frozen components.","Two-module framework. Hierarchical retrieval: (i) multimodal embedding similarity over page images and queries via VisRAG/ColPali for low-level matching; (ii) keyword-guided MLLM relevance scoring (InternVL2-40B prompted to output Yes/No on per-keyword relevance, with the 'Yes' logit probability used as the score) for high-level matching; (iii) LightGBM Learning-to-Rank fusion of similarity and keyword scores trained on MP-DocVQA gold pages with NDCG optimisation. DVQA module: cross-page attention-aware multi-page MLLM built on InternVL2-4B with frozen visual encoder. Each retrieved page is treated as a mixture-of-experts expert; query-conditioned attention scores combine global attention pooling and token-level attention via a gating mechanism, with top-P expert selection routing the most relevant pages to the LLM. Fine-tuned with LoRA on MP-DocVQA + DUDE training sets.","Performance on DUDE without retrieved text context lags GRAM (visual encoder limits on complex layouts). LightGBM ranker is dataset-specific (trained on MP-DocVQA). MoE expert selection limits scalability beyond ~5 active pages. Cross-page reasoning over evidence spanning more than two pages remains weak due to insufficient training data with multi-page evidence. Hallucination on unanswerable questions persists."
MM-Doc-R1,"Targets the single-pass retrieval failure of M3DocRAG and MDocAgent on multi-hop questions where iterative information gathering is needed. Addresses GRPO's baseline-estimation bias for multi-turn RL: GRPO uses initial-state baseline for all intermediate states, introducing bias as trajectories diverge over turns. Improves over text-only multi-step search methods (Search-R1, DeepResearcher) by integrating both visual and textual modalities through a specialised read tool.","Three-agent workflow trained end-to-end with multi-turn RL. (1) Planner parses the document's table of contents (extracted via Doc2X OCR) and decomposes the query into an information-seeking plan with sub-queries and tool selections. (2) Seeker iteratively chooses between a search tool (BM25 over OCR text returning top-K snippets) and a read tool (Qwen2.5-VL-7B inspecting specified pages for visual elements), refining sub-queries based on observations until evidence is sufficient. (3) Answer agent synthesises the collected evidence into the final response. Trained with Similarity-based Policy Optimisation (SPO): the baseline for multi-turn advantage estimation is computed as a similarity-weighted average of trajectory rewards using BGE-M3 embeddings, addressing the trajectory-divergence bias of GRPO. Reward combines answer correctness (Qwen2.5-72B as judge) with read-page recall. Improves Qwen3-4B by +6.1% and Qwen3-8B by +5.0% over GRPO on MMLongBench-Doc.","Performance partially depends on initial document parsing quality (Doc2X OCR + TOC extraction); degraded scans hurt downstream agents. Multi-turn workflow adds inference latency (~109s for 8B no-train, ~154s with SPO vs ~40s for one-pass ColQwen RAG). Optimised for static documents; dynamic/web-based documents not addressed. Validation primarily on English benchmarks; cross-lingual robustness untested. Reward design relies on Qwen2.5-72B as a judge."
SV-RAG,"Addresses the dichotomy between document-parser RAG (which loses layout fidelity and propagates parsing errors) and concatenate-all-pages MLLMs (which exceed memory limits and dilute attention on hundreds of pages). Demonstrates that the same MLLM backbone can serve as both retriever and generator via dual LoRA adapters, eliminating the need for a separate vision-language retrieval model. Improves over CLIP/SigLIP and BGE/NV-Embed on visually-rich document retrieval by leveraging the MLLM's intermediate hidden states.","Self-Visual RAG framework. Retrieval module: Col-style late-interaction scoring over MLLM hidden states. The MLLM (PaliGemma, Phi-3-vision, or InternVL2-4B) embeds each page image with a fixed text prompt and the query is embedded similarly without visual input; a Col-projection layer maps last hidden states into a low-dimensional space; a MaxSim score over query-token vs page-patch features is used for ranking. Trained with contrastive InfoNCE loss using positive evidence pages and the hardest negative within the batch. QA module: classic LLaVA-style multimodal answering on top-K retrieved pages. Both modules share the same pretrained MLLM backbone with two distinct LoRA adapter sets (~2% extra parameters), enabling dual-task support without doubling memory. Releases VisR-Bench (226 documents, 471 QA pairs across 9 domains).","Memory requirement scales with retrieved page count (up to 76GB for 12 pages of InternVL2-4B). Quality bound by base MLLM's per-page resolution; dense scientific tables can challenge the visual encoder. Fine-tuning for downstream QA can hurt MLLM generalisation (drop on MMLongBench-Doc/DUDE observed). Single-modal (visual-only) approach loses any text-only signal that may help certain queries. Dual adapters add a small but non-zero training/serving overhead."
SLEUTH,"Targets the noise-from-redundant-context problem of M3DocRAG, MDocAgent and MoLoRAG, where retrieved pages still contain large amounts of irrelevant content that confuses VLMs. Distinguishes itself from reasoning-enhancement methods (MACT) and retrieval-enhancement methods (MoLoRAG, ViDoRAG) by introducing context engineering as a third paradigm. Builds on Doc-V*'s coarse-to-fine inspection but operates training-free with an adaptive trajectory length scaling with K.","Training-free four-agent framework with coarse-to-fine context construction. (1) ColPali retriever narrows search space to top-K pages. (2) Clue Discovery Agent processes each retrieved page individually and extracts structured clues (region, content, key insight, reasoning trace) via VLM single-page reasoning, producing fine-grained textual evidence. (3) Page Screening Agent classifies each page as Completely Relevant / Relevant / Irrelevant via joint semantic-visual reasoning, filtering out distracting pages while preserving critical visual elements (tables, charts). (4) Difficulty Assessment Agent classifies query complexity (ordinary vs reasoning mode) and dispatches to the corresponding model type (Instruct vs Thinking). (5) Core Decision Agent synthesises the distilled context with mode-specific prompts to generate the answer with evidence references. Effective context length stays fixed regardless of K; recall scales with K without amplifying hallucinations.","Heavy dependence on initial retriever recall; missed relevant pages cannot be recovered downstream. Pure prompt-driven design limits self-evolution and adaptation through experience. Heavy compute due to four-agent pipeline (Clue Discovery processes each retrieved page sequentially). Evaluated primarily on English long-document benchmarks; multilingual and handwritten documents untested. Difficulty assessment relies on a binary (ordinary/reasoning) classification that may oversimplify query complexity."
MM-R5,"Addresses the under-explored multimodal reranker space, where VLM rerankers lack instruction-following capability and explicit reasoning. Targets the limitation of using general-purpose VLMs as zero-shot rerankers without fine-tuning. Provides interpretability via Chain-of-Thought reasoning during reranking, contrasting with standard rerankers that output ranks without justification. Slots into the trained-retrieval-component family alongside DFVC and MoLoRAG retrieval scorer.","Two-stage reranker training pipeline. Stage 1: SFT on a dataset of 7,200 instances with structured reasoning paths constructed via GPT-4o on single-image sub-tasks (each page paired with the question for relevance reasoning); per-page reasoning statements are concatenated into a complete <think> chain, paired with the relevance-sorted <answer> ranking. Stage 2: GRPO RL on a resolution-balanced subset of 3,000 samples with two reward functions: a result reward (cube-rank-discounted top-K reward over correctly identified pages) and a format reward (structure validity + length accuracy + range validity). Resolution-balanced sampling across 10 partitions reduces gradient bias from imbalanced image sizes. The model jointly processes all candidate pages, generates an explicit reasoning chain for each, and outputs a final ranking. Achieved second place in WWW 2025 Multimodal RAG Challenge.","Reranker only — relies on an upstream retriever (ColQwen) for candidate pages; cannot recover from poor retrieval. Trained and evaluated on MMDocIR; cross-domain generalisation to other multi-page corpora not extensively tested. Reasoning-chain output adds inference latency over rank-only rerankers. Reward design uses cube-rank discounting which may over-emphasise top positions at the cost of broader coverage. Limited to text-image rerank; no native handling of layout or table structure."
VisDoMRAG,"Addresses the unimodal limitation of pure-text RAG (loses visual information) and pure-vision RAG (constrained by VLM visual reasoning capability and language bias). Extends single-document QA to multi-document settings with visually-rich content (tables, charts, slides). Differentiates from multi-document benchmarks (LongBench, Loong) that are text-only by introducing VisDoMBench with explicit multimodal content.","Parallel multimodal RAG with consistency-constrained modality fusion. (1) Textual RAG pipeline: OCR-based text extraction (PyTesseract), recursive chunking (3000 chars with 10% overlap), BGE-1.5 dense retrieval, three-step Evidence Curation + CoT + Answer Generation. (2) Visual RAG pipeline: ColPali/ColQwen2 page-level visual retrieval with the same three-step prompting strategy. (3) Modality Fusion: an LLM evaluates consistency between the textual and visual reasoning chains; on inconsistency, it reconciles differences and re-evaluates evidence to produce a coherent final answer. Releases VisDoMBench: 2,271 queries over 1,277 documents (~128.7 pages per query) sourced from PaperTab, FetaTab, SciGraphQA, SPIQA and SlideVQA with adversarial document augmentation and query disambiguation.","Two parallel pipelines double indexing/inference cost. Modality fusion still uses a single LLM, so cross-modal disagreements may resolve incorrectly when both pipelines err. Evidence curation adds latency on top of standard RAG. Performance bound by quality of OCR (PyTesseract) for textual pipeline and by visual encoder for visual pipeline. Training-free design limits domain adaptation. Final answer synthesis may discard the better modality's evidence when consistency check fails."
VRAG-RL,"Targets the limitations of OCR-based RAG (cascading errors, layout/style loss) and prompt-only visual RAG (insufficient visual perception activation, repetitive ineffective retrieval calls). Improves over Search-R1-VL by adding a visual perception action space and a RAG-specific reward function. Aligns with Doc-V* in ReAct + RL training but adds explicit crop/zoom region selection rather than fetch-by-page-index.","Reinforcement learning framework for visual RAG built on Qwen2.5-VL (3B and 7B variants). Three innovations: (i) Visual perception action space — beyond search and answer, the agent emits <region> tags to select bounding boxes and crop+zoom into regions of interest, providing fine-grained perception within fixed token budgets; (ii) Multi-expert SFT trajectory data — large LMs guide the reasoning pathway while smaller expert models annotate region coordinates, scaling high-quality training data; (iii) Three-component reward — pattern reward (rule-based for action format), retrieval efficiency reward (modified NDCG over stacked retrieved images), and model-based outcome reward (LLM-evaluated answer correctness). Trained with GRPO on a search engine over ~70k visual documents, then evaluated on SlideVQA, ViDoSeek, and MMLongBench-Doc with model-based binary judgment. Outperforms Search-R1-VL by ~20-30% on Qwen2.5-VL backbones.","Multi-turn reasoning increases inference latency (more search and perception turns than single-pass RAG). Relies on a fixed search engine over a pre-encoded image database. Evaluation uses model-based binary 0/1 judgment, making cross-system comparison with ANLS/EM/F1 metrics indirect. Visual perception is constrained to bounding-box cropping; no other actions like rotation. The expert annotation pipeline depends on grounding-specific models being available for the backbone family."
URaG,"Addresses both information interference from irrelevant content and quadratic Transformer cost in MLLMs for long documents, without external retrievers (avoiding error propagation between separately-trained retriever and generator). Improves over token compression (which sacrifices fine-grained details) and external-retrieval RAG (which lacks end-to-end optimisation) by integrating retrieval into the MLLM's early Transformer layers.","Unifies retrieval and generation within a single MLLM via a lightweight cross-modal retrieval module inserted at an early Transformer layer (layer 6 by default in Qwen2.5-VL). The module consists of two linear projections with GELU activation that map early-layer hidden states into a low-dimensional space, then computes ColBERT-style late-interaction relevance between page visual features and query text features. Top-k pages are retained in the hidden states; non-retained pages are discarded before deeper layers. Two-stage training: (i) pretrain the retrieval module with retrieval loss over positive/negative page pairs, (ii) jointly fine-tune with LoRA (rank 32) on both LLM and retrieval module using combined retrieval + generation losses. Supported by empirical analysis showing MLLMs naturally exhibit a coarse-to-fine attention pattern (uniform attention in early layers, focused on evidence pages in deeper layers).","Effectiveness depends on the choice of insertion layer; the optimal position varies with the backbone (layer 6 for Qwen2.5-VL). Top-k is fixed (5 by default), creating a hard cap on evidence pages. The retrieval module operates over visual features only, so cross-modal alignment depends on textual queries having semantic overlap with vision features. Training on MPDocVQA + DUDE + SlideVQA may overfit (LongDocURL fine-tuning shows degradation in their experiments). Evaluation conducted only on standard benchmarks; long-tail document types not tested."
DocSeeker,"Addresses two gaps in existing pure-vision MP-DocVQA approaches: (i) low signal-to-noise ratio in long documents where evidence is buried in irrelevant pages (worse for top-k RAG with large k for high recall vs small k risking missed evidence), and (ii) supervision scarcity — datasets typically provide only short final answers without intermediate localization or reasoning supervision. Improves over DocR1's EviGRPO by adding a more elaborate analyse-localise-reason workflow with explicit page identifiers, plus an Evidence-Guided Resolution Allocation strategy to enable training on longer documents within memory constraints.","MLLM-Centric Adaptation Model (Qwen-2.5-VL-7B-Instruct) trained with the Analysis-Localization-Reasoning (ALR) paradigm. Each page's visual tokens are prefixed with a textual page identifier (e.g., 'Page i') to enable explicit grounding. The model emits structured <think><answer> outputs with three sub-stages: Question Analysis, Evidence Localization (referencing specific page IDs), and Reasoning Process. Two-stage training: (i) SFT on 13,986 high-quality ALR CoT samples distilled from Gemini-2.5-Flash using minimal-context teacher prompts (only ground-truth evidence pages plus a few distractors) with two-stage EM + GPT-4o verification; (ii) Evidence-aware GRPO (EviGRPO) jointly optimising format reward + weighted F1 evidence reward (recall-favoured) + ANLS answer reward. Evidence-Guided Resolution Allocation (EGRA) downsamples 70% of non-evidence pages to lower resolution during training to fit longer documents in GPU memory while strengthening signal. Achieves 30-60% gains over the Qwen2.5-VL-7B baseline across five MP-VRDU benchmarks.","Trained only on MP-DocVQA + DUDE (≤20 pages), with OOD generalisation to longer documents (MMLongBench-Doc avg 47 pages) demonstrated empirically but not guaranteed for ultra-long documents. EGRA's resolution downsampling is heuristic (70%/30% split, fixed ratios); adaptive resolution allocation not explored. Inference uses fixed 1024×784 resolution, bounding maximum context; very long documents may still exceed memory budget. Reasoning chain output adds inference latency vs direct answer. Performance gap remains versus closed-source GPT-4o on the most challenging benchmarks."
DMAP,"Addresses the structural blindness of conventional chunk-based RAG, which destroys document hierarchy (sections, page references, figure-text alignment) when flattening to disconnected chunks. Improves over MDocAgent and other multi-agent systems that retrieve at page level by introducing an explicit document-level hierarchical structure as a first-class retrieval target. Aligns with MultiDocFusion in using document hierarchy but extends to multimodal elements (figures, tables, charts) and adds a reflective reasoning loop.","Two-agent framework. (i) Structured-Semantic Understanding Agent (SSUA) parses each document via pymupdf and pdffigure2 into a hierarchical Document MAP (DMAP) with section-level hierarchy, page-level aggregation, and element-level representation (page_content, figures, tables, charts), each with both visual and textual descriptions. The DMAP captures intra-page semantics and inter-page references. (ii) Reflective Reasoning Agent (RRA) performs tri-path retrieval over DMAP — Structured Semantic Retrieval (LLM navigates DMAP summary tree), Textual Feature Retrieval (ColBERTv2), and Visual Feature Retrieval (ColPali) — then fuses retrieved elements and generates an answer via MDocAgent. A reflective loop assesses answer completeness via LLM evaluator and triggers additional DMAP traversal (neighbouring or parent elements) when evidence is insufficient. Evaluated on MMLongBench-Doc, LongDocURL, PaperTab, PaperText, FetaTab using GPT-4o binary judgment; outperforms MDocAgent baseline by 12.4% average accuracy.","Performance depends on parser quality for DMAP construction (pymupdf for text, pdffigure2 for figures). DMAP construction is per-document offline cost, which scales with document count. The reflection loop adds inference latency, especially on unanswerable questions (MMLongBench-Doc requires the most reflection ops). Backbone is closed-source (GPT-4o or Qwen-plus); MDocAgent generator inherits its limitations. Evaluation uses GPT-4o binary judgment, making cross-system comparison with ANLS/EM/F1 metrics indirect. Tested only on MMDocQA-style benchmarks, not standard MP-DocVQA / DUDE / SlideVQA."
